route_id	schema_version	candidate_id	gene	ensembl_gene_id	broad_network	case_id	case_label	qtl_type	chromosome	window_start	window_end	genome_build	comparison_id	source_dataset_id	source_study_id	source_context	context_match_level	gwas_min_p	gwas_lead_variant	gwas_signal_present	decision_frozen_before_qtl_result
T2R001	human_genetic_support_tier2_classical_coloc_recovery_v1	GS001	ANKRD11	ENSG00000167522	OPCs	non_mt_driver	non-MT driver	eQTL	16	88267630	90490561	GRCh38	REC-T2R001	QTD000579	QTS000034	neocortex	bulk_brain_fallback	1.283e-11	rs56407236	TRUE	TRUE
T2R002	human_genetic_support_tier2_classical_coloc_recovery_v1	GS001	ANKRD11	ENSG00000167522	OPCs	non_mt_driver	non-MT driver	sQTL	16	88267630	90490561	GRCh38	REC-T2R002	QTD000583	QTS000034	neocortex	bulk_brain_fallback	1.283e-11	rs56407236	TRUE	TRUE
T2R003	human_genetic_support_tier2_classical_coloc_recovery_v1	GS002	APOE	ENSG00000130203	Astrocytes	non_mt_driver	non-MT driver	eQTL	19	43905791	45909393	GRCh38	REC-T2R003	QTD000579	QTS000034	neocortex	bulk_brain_fallback	0	rs747519137	TRUE	TRUE
T2R004	human_genetic_support_tier2_classical_coloc_recovery_v1	GS002	APOE	ENSG00000130203	Astrocytes	non_mt_driver	non-MT driver	sQTL	19	43905791	45909393	GRCh38	REC-T2R004	QTD000583	QTS000034	neocortex	bulk_brain_fallback	0	rs747519137	TRUE	TRUE
T2R005	human_genetic_support_tier2_classical_coloc_recovery_v1	GS003	ATP6V1F	ENSG00000128524	Inhibitory_neurons	non_mt_driver	non-MT driver	eQTL	7	127862856	129865847	GRCh38	REC-T2R005	QTD000569	QTS000032	neuron	lineage	4e-05	rs192046862	FALSE	TRUE
T2R006	human_genetic_support_tier2_classical_coloc_recovery_v1	GS003	ATP6V1F	ENSG00000128524	Inhibitory_neurons	non_mt_driver	non-MT driver	sQTL	7	127862856	129865847	GRCh38	REC-T2R006	QTD000573	QTS000032	neuron	lineage	4e-05	rs192046862	FALSE	TRUE
T2R007	human_genetic_support_tier2_classical_coloc_recovery_v1	GS004	COX4I1	ENSG00000131143	Astrocytes	mt_driver	MT driver	eQTL	16	84798633	86807068	GRCh38	REC-T2R007	QTD000579	QTS000034	neocortex	bulk_brain_fallback	2.929e-06	rs16941239	FALSE	TRUE
T2R008	human_genetic_support_tier2_classical_coloc_recovery_v1	GS004	COX4I1	ENSG00000131143	Astrocytes	mt_driver	MT driver	sQTL	16	84798633	86807068	GRCh38	REC-T2R008	QTD000583	QTS000034	neocortex	bulk_brain_fallback	2.929e-06	rs16941239	FALSE	TRUE
T2R009	human_genetic_support_tier2_classical_coloc_recovery_v1	GS005	COX4I1	ENSG00000131143	Excitatory_neurons	mt_driver	MT driver	eQTL	16	84798633	86807068	GRCh38	REC-T2R009	QTD000569	QTS000032	neuron	lineage	2.929e-06	rs16941239	FALSE	TRUE
T2R010	human_genetic_support_tier2_classical_coloc_recovery_v1	GS005	COX4I1	ENSG00000131143	Excitatory_neurons	mt_driver	MT driver	sQTL	16	84798633	86807068	GRCh38	REC-T2R010	QTD000573	QTS000032	neuron	lineage	2.929e-06	rs16941239	FALSE	TRUE
