schema_version	gene	ensembl_gene_id	gene_type	chromosome	start	end	strand	window_start	window_end	genome_build
phase19b_sex_apoe_kda_combo_v2_loci	ACAT2	ENSG00000120437	protein_coding	6	159762045	159779112	+	158762045	160779112	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	AGRN	ENSG00000188157	protein_coding	1	1020120	1056118	+	20120	2056118	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ALG8	ENSG00000159063	protein_coding	11	78095244	78139660	-	77095244	79139660	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ANKRD11	ENSG00000167522	protein_coding	16	89267630	89490561	-	88267630	90490561	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ANKRD13A	ENSG00000076513	protein_coding	12	109999186	110039763	+	108999186	111039763	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	AP2M1	ENSG00000161203	protein_coding	3	184174689	184184214	+	183174689	185184214	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	APOE	ENSG00000130203	protein_coding	19	44905791	44909393	+	43905791	45909393	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ARGLU1	ENSG00000134884	protein_coding	13	106541673	106568137	-	105541673	107568137	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ARID5A	ENSG00000196843	protein_coding	2	96536743	96552634	+	95536743	97552634	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ATCAY	ENSG00000167654	protein_coding	19	3879864	3928082	+	2879864	4928082	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ATG101	ENSG00000123395	protein_coding	12	52069246	52077495	+	51069246	53077495	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ATP6AP2	ENSG00000182220	protein_coding	X	40579372	40606848	+	39579372	41606848	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ATP6V0B	ENSG00000117410	protein_coding	1	43974487	43978295	+	42974487	44978295	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ATP6V0E2	ENSG00000171130	protein_coding	7	149872968	149891204	+	148872968	150891204	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ATP6V1F	ENSG00000128524	protein_coding	7	128862856	128865847	+	127862856	129865847	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ATP6V1G1	ENSG00000136888	protein_coding	9	114587706	114598915	+	113587706	115598915	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	B3GAT3	ENSG00000149541	protein_coding	11	62615296	62622154	-	61615296	63622154	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	BAIAP2L1	ENSG00000006453	protein_coding	7	98291650	98401090	-	97291650	99401090	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	BCL6	ENSG00000113916	protein_coding	3	187721377	187745725	-	186721377	188745725	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	BEX1	ENSG00000133169	protein_coding	X	103062651	103064171	-	102062651	104064171	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	BEX3	ENSG00000166681	protein_coding	X	103376395	103378164	+	102376395	104378164	GRCh38
