schema_version	gene	ensembl_gene_id	gene_type	chromosome	start	end	strand	tss	window_start	window_end	genome_build	is_mtdna_gene	is_apoe	hgnc_approved_symbol
human_genetic_support_tier1_v1	ANKRD11	ENSG00000167522	protein_coding	16	89267630	89490561	-	89490561	88267630	90490561	GRCh38	False	False	True
human_genetic_support_tier1_v1	APOE	ENSG00000130203	protein_coding	19	44905791	44909393	+	44905791	43905791	45909393	GRCh38	False	True	True
human_genetic_support_tier1_v1	ATP6V1F	ENSG00000128524	protein_coding	7	128862856	128865847	+	128862856	127862856	129865847	GRCh38	False	False	True
human_genetic_support_tier1_v1	COX4I1	ENSG00000131143	protein_coding	16	85798633	85807068	+	85798633	84798633	86807068	GRCh38	False	False	True
human_genetic_support_tier1_v1	COX6B1	ENSG00000126267	protein_coding	19	35648323	35658782	+	35648323	34648323	36658782	GRCh38	False	False	True
human_genetic_support_tier1_v1	COX7C	ENSG00000127184	protein_coding	5	86617928	86620962	+	86617928	85617928	87620962	GRCh38	False	False	True
human_genetic_support_tier1_v1	DYNLT1	ENSG00000146425	protein_coding	6	158636474	158644743	-	158644743	157636474	159644743	GRCh38	False	False	True
human_genetic_support_tier1_v1	FTL	ENSG00000087086	protein_coding	19	48965309	48966879	+	48965309	47965309	49966879	GRCh38	False	False	True
human_genetic_support_tier1_v1	LAMTOR5	ENSG00000134248	protein_coding	1	110401249	110407942	-	110407942	109401249	111407942	GRCh38	False	False	True
human_genetic_support_tier1_v1	LAPTM4A	ENSG00000068697	protein_coding	2	20032650	20051628	-	20051628	19032650	21051628	GRCh38	False	False	True
human_genetic_support_tier1_v1	MT-ATP6	ENSG00000198899	protein_coding	M	8527	9207	+	8527	1	1009207	GRCh38	True	False	True
human_genetic_support_tier1_v1	MT-CO2	ENSG00000198712	protein_coding	M	7586	8269	+	7586	1	1008269	GRCh38	True	False	True
human_genetic_support_tier1_v1	MT-CO3	ENSG00000198938	protein_coding	M	9207	9990	+	9207	1	1009990	GRCh38	True	False	True
human_genetic_support_tier1_v1	MT-CYB	ENSG00000198727	protein_coding	M	14747	15887	+	14747	1	1015887	GRCh38	True	False	True
human_genetic_support_tier1_v1	MT-ND4	ENSG00000198886	protein_coding	M	10760	12137	+	10760	1	1012137	GRCh38	True	False	True
human_genetic_support_tier1_v1	MT-ND5	ENSG00000198786	protein_coding	M	12337	14148	+	12337	1	1014148	GRCh38	True	False	True
human_genetic_support_tier1_v1	NCOA1	ENSG00000084676	protein_coding	2	24491254	24770702	+	24491254	23491254	25770702	GRCh38	False	False	True
human_genetic_support_tier1_v1	RPL11	ENSG00000142676	protein_coding	1	23691742	23696835	+	23691742	22691742	24696835	GRCh38	False	False	True
human_genetic_support_tier1_v1	RPL15	ENSG00000174748	protein_coding	3	23916591	23924374	+	23916591	22916591	24924374	GRCh38	False	False	True
human_genetic_support_tier1_v1	RPL38	ENSG00000172809	protein_coding	17	74203582	74210655	+	74203582	73203582	75210655	GRCh38	False	False	True
human_genetic_support_tier1_v1	RPLP1	ENSG00000137818	protein_coding	15	69452814	69456205	+	69452814	68452814	70456205	GRCh38	False	False	True
human_genetic_support_tier1_v1	RPS13	ENSG00000110700	protein_coding	11	17074388	17077715	-	17077715	16074388	18077715	GRCh38	False	False	True
human_genetic_support_tier1_v1	RPS15	ENSG00000115268	protein_coding	19	1438358	1440495	+	1438358	438358	2440495	GRCh38	False	False	True
human_genetic_support_tier1_v1	SELENOW	ENSG00000178980	protein_coding	19	47778677	47784686	+	47778677	46778677	48784686	GRCh38	False	False	True
human_genetic_support_tier1_v1	UQCR10	ENSG00000184076	protein_coding	22	29767369	29770413	+	29767369	28767369	30770413	GRCh38	False	False	True
