schema_version	audit_id	candidate_id	phase18_context	route_id	qtl_source_id	cohort	modality	cell_type	biosample_type	tissue_category	context_match	eligible	release_component	variant_class	source_file	source_bytes	source_sha256	target_rows	source_significant_rows	explicit_is_hmt_false_rows	min_qtl_p	min_qtl_fdr	max_pip	credible_set_rows	target_ids	event_ids	evidence_state
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001__hmt_significant__indel	GS044	Inhibitory_neurons	GS044__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001	NG00184.v1	Knight-ADRC	eQTL	Parietal cortex	Primary tissue	Brain	bulk_brain_fallback	TRUE	hmt_significant	indel	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.eQTL.PC.NGFGXQTL0001_v1_19_indel_hmt.20260330.bed.gz	178130	1ecad55825bf60e2d6f25a60bf0ae3fd6518431c0c5768daf1672427ca5cb865	0	0	0	NA	NA	NA	0	none	none	no_target_rows_in_released_component
phase19_opc_rps15_public_recovery_v1	GS045__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001__hmt_significant__indel	GS045	OPCs	GS045__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001	NG00184.v1	Knight-ADRC	eQTL	Parietal cortex	Primary tissue	Brain	bulk_brain_fallback	TRUE	hmt_significant	indel	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.eQTL.PC.NGFGXQTL0001_v1_19_indel_hmt.20260330.bed.gz	178130	1ecad55825bf60e2d6f25a60bf0ae3fd6518431c0c5768daf1672427ca5cb865	0	0	0	NA	NA	NA	0	none	none	no_target_rows_in_released_component
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001__hmt_significant__snp	GS044	Inhibitory_neurons	GS044__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001	NG00184.v1	Knight-ADRC	eQTL	Parietal cortex	Primary tissue	Brain	bulk_brain_fallback	TRUE	hmt_significant	snp	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.eQTL.PC.NGFGXQTL0001_v1_19_snp_hmt.20260330.bed.gz	2289768	83ceb51f16a7104644c951ab14232f687270f483dc0368e8956a7280daf60d8c	0	0	0	NA	NA	NA	0	none	none	no_target_rows_in_released_component
phase19_opc_rps15_public_recovery_v1	GS045__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001__hmt_significant__snp	GS045	OPCs	GS045__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001	NG00184.v1	Knight-ADRC	eQTL	Parietal cortex	Primary tissue	Brain	bulk_brain_fallback	TRUE	hmt_significant	snp	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/eQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.eQTL.PC.NGFGXQTL0001_v1_19_snp_hmt.20260330.bed.gz	2289768	83ceb51f16a7104644c951ab14232f687270f483dc0368e8956a7280daf60d8c	0	0	0	NA	NA	NA	0	none	none	no_target_rows_in_released_component
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001__single_context_finemapping_all__indel	GS044	Inhibitory_neurons	GS044__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001	NG00184.v1	Knight-ADRC	eQTL	Parietal cortex	Primary tissue	Brain	bulk_brain_fallback	TRUE	single_context_finemapping_all	indel	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.eQTL.PC.NGFGXQTL0001_v1_19_indel_scfmAll.20260330.bed.gz	90870	5e762dc2bce54b13ca2dae6a5c276c2e71f4cd9d35f2e7421316533cb9b3febe	0	0	0	NA	NA	NA	0	none	none	no_target_rows_in_released_component
phase19_opc_rps15_public_recovery_v1	GS045__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001__single_context_finemapping_all__indel	GS045	OPCs	GS045__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001	NG00184.v1	Knight-ADRC	eQTL	Parietal cortex	Primary tissue	Brain	bulk_brain_fallback	TRUE	single_context_finemapping_all	indel	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.eQTL.PC.NGFGXQTL0001_v1_19_indel_scfmAll.20260330.bed.gz	90870	5e762dc2bce54b13ca2dae6a5c276c2e71f4cd9d35f2e7421316533cb9b3febe	0	0	0	NA	NA	NA	0	none	none	no_target_rows_in_released_component
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001__single_context_finemapping_all__snp	GS044	Inhibitory_neurons	GS044__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001	NG00184.v1	Knight-ADRC	eQTL	Parietal cortex	Primary tissue	Brain	bulk_brain_fallback	TRUE	single_context_finemapping_all	snp	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.eQTL.PC.NGFGXQTL0001_v1_19_snp_scfmAll.20260330.bed.gz	1154451	946cb58d5a9b502481746ab23cb1a669259bb5fec5082a24d92cea1fd84ffd0c	1	0	1	0.000100886507536	0.727378675356	0.0263907804753	0	ENSG00000115268	Knight_eQTL_brain_ENSG00000115268	measured_no_source_significant_signal
phase19_opc_rps15_public_recovery_v1	GS045__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001__single_context_finemapping_all__snp	GS045	OPCs	GS045__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001	NG00184.v1	Knight-ADRC	eQTL	Parietal cortex	Primary tissue	Brain	bulk_brain_fallback	TRUE	single_context_finemapping_all	snp	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/eQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.eQTL.PC.NGFGXQTL0001_v1_19_snp_scfmAll.20260330.bed.gz	1154451	946cb58d5a9b502481746ab23cb1a669259bb5fec5082a24d92cea1fd84ffd0c	1	0	1	0.000100886507536	0.727378675356	0.0263907804753	0	ENSG00000115268	Knight_eQTL_brain_ENSG00000115268	measured_no_source_significant_signal
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003__hmt_significant__indel	GS044	Inhibitory_neurons	GS044__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003	NG00184.v1	Knight-ADRC	pQTL	Parietal cortex	Primary tissue	Brain	protein_level_fallback	TRUE	hmt_significant	indel	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/pQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.pQTL.PC.NGFGXQTL0003_v1_19_indel_hmt.20260330.bed.gz	3757	b6b6bf829669e7f87ef61e35918b8b9cac1d7aaaf92cc1852464ce1645b96484	0	0	0	NA	NA	NA	0	none	none	no_target_rows_in_released_component
phase19_opc_rps15_public_recovery_v1	GS045__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003__hmt_significant__indel	GS045	OPCs	GS045__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003	NG00184.v1	Knight-ADRC	pQTL	Parietal cortex	Primary tissue	Brain	protein_level_fallback	TRUE	hmt_significant	indel	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/pQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.pQTL.PC.NGFGXQTL0003_v1_19_indel_hmt.20260330.bed.gz	3757	b6b6bf829669e7f87ef61e35918b8b9cac1d7aaaf92cc1852464ce1645b96484	0	0	0	NA	NA	NA	0	none	none	no_target_rows_in_released_component
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003__hmt_significant__snp	GS044	Inhibitory_neurons	GS044__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003	NG00184.v1	Knight-ADRC	pQTL	Parietal cortex	Primary tissue	Brain	protein_level_fallback	TRUE	hmt_significant	snp	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/pQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.pQTL.PC.NGFGXQTL0003_v1_19_snp_hmt.20260330.bed.gz	46402	54bc7c0afb22e5babb78bdcf59f88da3c0c436e525a02f20bb2d383bd80943b5	0	0	0	NA	NA	NA	0	none	none	no_target_rows_in_released_component
phase19_opc_rps15_public_recovery_v1	GS045__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003__hmt_significant__snp	GS045	OPCs	GS045__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003	NG00184.v1	Knight-ADRC	pQTL	Parietal cortex	Primary tissue	Brain	protein_level_fallback	TRUE	hmt_significant	snp	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/pQTL/hmt_significant/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.pQTL.PC.NGFGXQTL0003_v1_19_snp_hmt.20260330.bed.gz	46402	54bc7c0afb22e5babb78bdcf59f88da3c0c436e525a02f20bb2d383bd80943b5	0	0	0	NA	NA	NA	0	none	none	no_target_rows_in_released_component
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003__single_context_finemapping_all__indel	GS044	Inhibitory_neurons	GS044__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003	NG00184.v1	Knight-ADRC	pQTL	Parietal cortex	Primary tissue	Brain	protein_level_fallback	TRUE	single_context_finemapping_all	indel	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/pQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.pQTL.PC.NGFGXQTL0003_v1_19_indel_scfmAll.20260330.bed.gz	3713	232396caa2114ad53bf25c73f3fd2ad86da29eba5a8a4b184ee547ae86bf9c88	0	0	0	NA	NA	NA	0	none	none	no_target_rows_in_released_component
phase19_opc_rps15_public_recovery_v1	GS045__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003__single_context_finemapping_all__indel	GS045	OPCs	GS045__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003	NG00184.v1	Knight-ADRC	pQTL	Parietal cortex	Primary tissue	Brain	protein_level_fallback	TRUE	single_context_finemapping_all	indel	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/pQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.pQTL.PC.NGFGXQTL0003_v1_19_indel_scfmAll.20260330.bed.gz	3713	232396caa2114ad53bf25c73f3fd2ad86da29eba5a8a4b184ee547ae86bf9c88	0	0	0	NA	NA	NA	0	none	none	no_target_rows_in_released_component
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003__single_context_finemapping_all__snp	GS044	Inhibitory_neurons	GS044__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003	NG00184.v1	Knight-ADRC	pQTL	Parietal cortex	Primary tissue	Brain	protein_level_fallback	TRUE	single_context_finemapping_all	snp	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/pQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.pQTL.PC.NGFGXQTL0003_v1_19_snp_scfmAll.20260330.bed.gz	43531	cbdf4a90c7b0991c9cbbcad8f1dda5dea8bcb1342634253f1dad084df1bcad44	0	0	0	NA	NA	NA	0	none	none	no_target_rows_in_released_component
phase19_opc_rps15_public_recovery_v1	GS045__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003__single_context_finemapping_all__snp	GS045	OPCs	GS045__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003	NG00184.v1	Knight-ADRC	pQTL	Parietal cortex	Primary tissue	Brain	protein_level_fallback	TRUE	single_context_finemapping_all	snp	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_regional/NG00184/ADSP_FunGen_xQTL/v1/Knight-ADRC/pQTL/single_context_finemapping_all/bed3plus17_qtl/hg38/FunGenADv1.Knight-ADRC.pQTL.PC.NGFGXQTL0003_v1_19_snp_scfmAll.20260330.bed.gz	43531	cbdf4a90c7b0991c9cbbcad8f1dda5dea8bcb1342634253f1dad084df1bcad44	0	0	0	NA	NA	NA	0	none	none	no_target_rows_in_released_component
