schema_version	trait	gene	ensembl_gene_id	chromosome	window_start	window_end	variant_rows	regional_min_p	regional_lead_variant	genome_wide_significant	priority_tier
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ACAP3	ENSG00000131584	1	292390	2309609	12756	4.029e-05	rs2298215	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ACAT2	ENSG00000120437	6	158762045	160779112	16843	0.0001127	rs4252129	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ACD	ENSG00000102977	16	66657512	68660810	12276	4.556e-05	rs116121472	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ACIN1	ENSG00000100813	14	22058564	24095614	15901	0.0001535	rs80309124	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ADCY2	ENSG00000078295	5	6396138	8830081	21462	4.764e-05	rs559328965	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	AGRN	ENSG00000188157	1	20120	2056118	10369	4.029e-05	rs2298215	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	AHSA1	ENSG00000100591	14	76457870	78469472	16182	0.0002595	rs114430460	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ALG8	ENSG00000159063	11	77095244	79139660	15418	0.0001834	rs11237262	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ANKIB1	ENSG00000001629	7	91245974	93401383	12889	2.991e-05	rs556075598	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ANKRD11	ENSG00000167522	16	88267630	90490561	19764	1.283e-11	rs56407236	True	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ANKRD28	ENSG00000206560	3	14667236	16859771	18364	1.122e-05	rs761997496	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	AP1S1	ENSG00000106367	7	100154456	102161596	14441	2.133e-18	rs7384878	True	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	AP2M1	ENSG00000161203	3	183174689	185184214	15569	1.169e-06	rs9837978	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	APOE	ENSG00000130203	19	43905791	45909393	15788	0.0	rs747519137	True	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	AQP11	ENSG00000178301	11	76589391	78610356	15093	0.0001834	rs11237262	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ARID5A	ENSG00000196843	2	95536743	97552634	7853	9.409e-05	rs369079519	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ARL6IP5	ENSG00000144746	3	68084937	70106092	16498	0.0001465	rs147926647	False	P3
